feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking_up,fi_walking_down
tBodyAccJerk-entropy()-Y,0.0,0.0002441660438192078,0.00017494942748102848,0.00042879411549805234,4.1044342905170786e-05,0.00035674041777059267,0.0010822149251101547
tBodyAccJerk-entropy()-Z,0.0,0.0005861021731803641,0.0003464894436842463,0.0006335602050058305,7.834540918703821e-05,0.0003032566165384447,0.0003835451447976189
"tBodyAccJerk-arCoeff()-X,1",0.0,9.878524038039577e-05,0.00085789107704595,0.0005020909594226028,1.3531820490121928e-05,0.00023558150650005347,0.00016792823407245762
"tBodyAccJerk-arCoeff()-X,2",0.0,0.00013471767060331075,0.00032114381012417036,0.00035151752840171163,1.5290818334462654e-05,0.00017862004439033046,8.104483818225141e-05
"tBodyAccJerk-arCoeff()-X,3",0.0,0.00012653243661159378,0.0006768742382206115,0.0005221889154651471,0.00010338225851243622,0.00018942763736405958,0.0003104878993385962
"tBodyAccJerk-arCoeff()-X,4",0.0,0.00038248627670549697,0.000176437917470814,0.0002572217237131422,0.00018228864153359048,0.0007165629880550808,4.5773634964022154e-05
"tBodyAccJerk-arCoeff()-Y,1",0.0,0.0001420330543277408,0.00035638637664311593,0.0003196223391332294,0.00017436690922164658,0.00024101553092274522,0.00015210912312877122
"tBodyAccJerk-arCoeff()-Y,2",0.0,0.00014294053202836162,0.00027166658070258015,0.0004284207665308198,3.256607475110652e-05,0.0001349514164699259,0.0003878512803120292
"tBodyAccJerk-arCoeff()-Y,3",0.0,0.0001359013988162148,0.0003211622773430685,0.0002642797812013706,4.950321449444768e-05,0.00014917882044928322,5.937688105321077e-05
"tBodyAccJerk-arCoeff()-Y,4",0.0,0.0003142865976082755,0.0006387501725785595,0.0007626952984319826,2.4656895027883485e-05,0.0004818572528168149,8.34266350259165e-05
"tBodyAccJerk-arCoeff()-Z,1",0.0,0.00010632763437317698,0.00046359415640368835,0.0006172814563561935,2.703305201837325e-05,0.0006376575619106893,0.00012872330208358882
"tBodyAccJerk-arCoeff()-Z,2",0.0,0.00017271978074550793,0.0003732501891294135,0.0005235353673391563,1.533334876229884e-05,5.0319853850849655e-05,0.00027821396701891435
"tBodyAccJerk-arCoeff()-Z,3",0.0,8.520817758684939e-05,0.0005068445806054464,0.0003223941065280656,1.897543469163082e-05,0.00035250305512675293,0.00019933431582637743
"tBodyAccJerk-arCoeff()-Z,4",0.0,7.900994300572098e-05,0.0006991800306325855,0.0006870401008435673,4.656552554622724e-05,0.0006398910935087818,0.0008595273802109994
"tBodyAccJerk-correlation()-X,Y",0.0,0.0032930822864271504,0.0005425223145194734,0.0005644338094711995,1.7495223741516123e-05,0.0023421619279173664,0.00010884227711339858
"tBodyAccJerk-correlation()-X,Z",0.0,0.0010526197158778618,0.0005604412915898603,0.0007441338578595661,0.00013360223292700204,0.0007156385473850684,0.0004883250167218783
"tBodyAccJerk-correlation()-Y,Z",0.0,0.0006122104441472092,0.00038883480781740906,0.0003432401833475191,5.2126249116761205e-05,0.0008420164848885713,0.0005406642777680612
tBodyGyro-mean()-X,0.0,0.0011881389861996248,0.0008255133791765377,0.0023194887641373096,0.00038443451055850944,0.00040099174621002266,0.00023406014966019433
tBodyGyro-mean()-Y,0.0,0.00028074853483288386,0.00042639574006295253,0.0007968409118247789,0.00014905751092385465,0.0005017263918564778,8.273953974435954e-05
tBodyGyro-mean()-Z,0.0,0.002035006727225624,0.0007935587589217635,0.001100464584309719,0.00023314490625039376,0.0002485521674040957,0.00010028249536808787
tBodyGyro-std()-X,0.0,0.00019897186815651075,0.0028686048350789954,0.016392122442214985,0.00018276394069440045,0.0005350805277109674,0.0005128976768677574
tBodyGyro-std()-Y,0.0,0.0003222204236483769,0.000807144242178654,0.0013187665925151306,0.0019728065865939988,0.0005679692335497885,0.0008197900841990137
